"dept_id","dept_name","n_clusters","flag_1cluster","urban_pct","ndvi_mean","direct_mean","eblup","se_direct","se_eblup","cv_direct","cv_eblup","gamma","cv_gain","resid"
"NE005006","Keita",6,0,0,0.4977,-42641.7563080122,-43050.9581513667,5284.38148899041,3986.93705161739,12.3925043115485,9.26097170148771,0.53729644973384,3.13153261006079,409.20184335448
"NE007008","Takeita",4,0,0,0.2872,-49694.1276610645,-51512.9450495838,5373.01225252654,4016.73867388926,10.8121673634616,7.79753258141803,0.52901665906449,3.01463478204357,1818.8173885193
"NE004005","Guidan Roumdji",13,0,3.7455730763904,0.5971,-40414.0556218044,-39469.21013019,5053.46067784495,3885.12938771635,12.5042156747032,9.84344347125561,0.559424808295865,2.66077220344759,-944.845491614375
"NE007004","Gouré",9,0,0,0.2033,-46324.697867452,-46213.9276326152,4971.14600016833,3845.35607492497,10.7310921150359,8.32077313465806,0.567503771559735,2.41031898037784,-110.770234836775
"NE006013","Torodi",3,0,0,0.3211,-47161.671132323,-49415.5543046572,3847.31809296741,3260.33249776533,8.15772215147522,6.59778594744621,0.686589331179499,1.55993620402901,2253.88317233422
"NE003001","Boboye",9,0,0,0.3267,-46906.2594986792,-47726.7774393172,3731.81104006137,3187.34790688378,7.95589134573062,6.67832206131322,0.699556592103917,1.2775692844174,820.517940637998
"NE007009","Tanout",13,0,3.13900048310293,0.4326,-52095.2904730359,-50467.6039721218,4197.71318810602,3457.57236179986,8.05775944426057,6.85107294515075,0.647916801301271,1.20668649910982,-1627.68650091409
"NE005005","Illéla",7,0,9.54081254026979,0.4454,-44040.4828646213,-43058.3980365696,3667.26298947451,3151.06865656247,8.32702720528185,7.3181279384483,0.706839498064395,1.00889926683355,-982.084828051717
"NE003007","Loga",6,0,9.74442350604354,0.121,-49506.6583769914,-48338.0768254765,3446.80966952962,3018.03436631213,6.96231533803452,6.24359627961343,0.731859300844432,0.718719058421089,-1168.58155151493
"NE008001","Ville de Niamey",49,0,100,0.2372,145844.683409441,135153.315101239,7524.75307564205,6185.55892991995,5.15942912674932,4.57669789696725,0.36414430558307,0.58273122978207,10691.3683082015
"NE003002","Dioundiou",3,0,0,0.4388,-45951.4166818188,-46718.1092504449,2487.05069368371,2309.03964234463,5.41234824359124,4.94249377680593,0.839805213689159,0.469854466785309,766.692568626051
"NE006009","Ouallam",6,0,0,0.333,-51323.7877799424,-51721.6193118461,2690.92913692499,2469.34947579001,5.24304470368148,4.77430813003267,0.817455353645781,0.46873657364881,397.83153190367
